paper_id,year,has_abstract,title,citation_count
708c76b3983ef6c0d6fd4c3236a55d110a8e5e9a,2016,False,Identification of disaster-affected areas using exploratory visual analysis of georeferenced Tweets: application to a flood event,12
759d5e97b5ab290491e8071d5d7605ecbfcfb663,2016,False,Scalable and privacy-respectful interactive discovery of place semantics from human mobility traces,65
8101b217a8fcf26e1107a060be7d9d2ed2e336bf,2016,False,INSIGHT: Dynamic Traffic Management Using Heterogeneous Urban Data,5
9f0c5be9c161901122c77160e84ac0db116f8e1d,2016,False,Coordinate Transformations for Characterization and Cluster Analysis of Spatial Configurations in Football,9
a1ab71335a02c438535a062e65dae34c12fc1be1,2016,True,Gaining Knowledge from Georeferenced Social Media Data with Visual Analytics,3
a1fcad747d9f09e6afcf3f681135abf002514cc3,2016,False,Message from the Paper Chairs and Guest Editors.,0
e59b152462487ea69fbd7931b686de209a205e94,2016,False,Understanding movement data quality,37
11ecf3e0c85bcd76ac2add15d50381ae01d12004,2015,False,Interactive Cumulative Curves for Exploratory Classification Maps Gennady Andrienko and Natalia Andrienko,0
48ff3196b582a53369a3dc930ce76c01184798cc,2015,False,Constructing semantic interpretation of routine and anomalous mobility behaviors from big data,7
53843ae72772ceb7592a1eb1abf7a981d86a7b70,2015,True,EXTRACTING AND COMPARING PLACES USING GEO-SOCIAL MEDIA,11
644d9662a8597030388231378695f5d011dd74d6,2015,False,SimpliFly: A Methodology for Simplification and Thematic Enhancement of Trajectories,31
89e0c6d6b12ce4f80c40ec3ee09730277c3cc0f6,2015,False,A Task-Based View on the Visual Analysis of Eye-Tracking Data,34
a063f881fc14cade88398d8886ca17cc9e852654,2015,False,Twitter Floods when it Rains: A Case Study of the UK Floods in early 2014,23
c363c01887fa1f1100fa7ebaf264f7cf9a3b94cb,2015,False,Visual Analytics Methodology for Scalable and Privacy-Respectful Discovery of Place Semantics from Episodic Mobility Data,5
d0093eaff8922b5704c8e1de1aab050c696024a6,2015,False,"Detection, tracking, and visualization of spatial event clusters for real time monitoring",21
dbcdfaa2c77f58a7a004ae39d817f287e9df3696,2015,False,Real Time Detection and Tracking of Spatial Event Clusters,1
de9ec2477802e79e1ba8a373d247d3938adbe430,2015,False,A semi-supervised method for topic extraction from micro postings,6
e054a5774ce44d1e206255753bfc8206121d49c8,2015,False,Visual Analytics for Exploring Local Impact of Air Traffic,21
eb9fb19a5ab1b48c700bbd6a38873c062b6cd0d5,2015,True,Overview with details for exploring geo-located graphs on maps,16
ee25608eb32af667a13be3269db099ee43e0600b,2015,True,Exploiting Spatial Abstraction in Predictive Analytics of Vehicle Traffic,21
ffbb7ab8c67b1b425d65c613e842d16de168d531,2015,False,Visualization Support to Interactive Cluster Analysis,4
533256267a5d9dfa497a28658de0519a9497f029,2014,False,Wind parameters extraction from aircraft trajectories,33
87a5dc514c112f0661a98dbb0d4d8a9dba05e044,2014,False,Detecting and tracking dynamic clusters of spatial events,4
9570a06d33cf589da8fe0824df8f50d8091410a4,2014,False,Analysis of mobility behaviors in geographic and semantic spaces,3
9fdab208fd3a2b25b86327ed8c6d9eddd268ed36,2014,False,Experiences from Supporting Predictive Analytics of Vehicle Traffic,9
ac9237b90fe5b0772a48febccd723d9661908949,2014,False,Methods for Analysis of Spatio-Temporal Bluetooth Tracking Data,9
